"","Year","Month","VesselType","LatBin","HakeWt","Pop","DKB","Widow"
"1",2008,5,"CP",42,18.12543,0,0.0094,0.07129
"2",2008,5,"CP",42.1,46.44688,0.00085,0.00182,0.34801
"3",2008,5,"CP",42.2,44.32486,0.00442,0.00367,0.12966
"4",2008,5,"CP",42.3,65.06911,0,0,0.85743
"5",2008,5,"CP",42.4,170.13519,0,0.0012,0.61588
"6",2008,5,"CP",42.5,855.89924,0.00353,0.01205,1.18086
"7",2008,5,"CP",42.6,642.57008,0.00208,0.10678,1.9193
"8",2008,5,"CP",42.7,301.77345,0.01264,0.12683,1.08576
"9",2008,5,"CP",42.8,175.92247,0.00274,0.01028,0.35481
"10",2008,5,"CP",42.9,12.60029,0.04583,0.05894,0.06679
"11",2008,5,"CP",43.1,97.53056,0.00114,0,0.08484
"12",2008,5,"CP",43.2,96.25353,0,0.002,0.23266
"13",2008,5,"CP",43.3,30.74669,0,0,0.03065
"14",2008,5,"CP",43.4,250.18191,0.00743,0.02104,0.4433
"15",2008,5,"CP",43.5,1118.16495,0.00501,0.11716,1.96122
"16",2008,5,"CP",43.6,42.89145,0,0,0.07771
"17",2008,5,"CP",43.7,4.9149,0,0.00096,0
"18",2008,5,"CP",44.8,1.46694,0,0,0.00369
"19",2008,5,"CP",45.1,0.15698,0,0,0.00099
"20",2008,5,"CP",45.4,8.09323,0,0,0.00568
"21",2008,5,"CP",45.9,4.87161,0,0,0.00159
"22",2008,5,"CP",46.4,0.44666,0.00096,0,0
"23",2008,5,"CP",46.5,0.58355,0,0,0
"24",2008,5,"CP",46.6,4.62625,0,0,0.2004
"25",2008,5,"CP",47.2,20.60885,0,0.00081,0.00531
"26",2008,5,"CP",47.3,91.27469,0,0.00095,0.12756
"27",2008,5,"CP",47.4,412.57524,0,0,0.36223
"28",2008,5,"CP",47.5,878.86888,0.22005,0.00533,0.29556
"29",2008,5,"CP",47.6,1598.86458,0.14653,0.00857,0.26749
"30",2008,5,"CP",47.7,5355.21095,0.81732,0.22998,1.32714
"31",2008,5,"CP",47.8,8352.06575,2.70726,0.22719,1.43689
"32",2008,5,"CP",47.9,4181.59131,0.41666,0.08513,2.9118
"33",2008,5,"CP",48,3162.9434,0.39707,0.0438,0.68606
"34",2008,5,"CP",48.1,317.74813,0.10548,0.00169,0.02699
"35",2008,5,"CP",48.2,12.27904,0.01072,0.00119,0.26823
"36",2008,5,"M",42,320.81233,0,0,0.51768
"37",2008,5,"M",42.1,474.20777,0.00091,0.01571,1.46524
"38",2008,5,"M",42.2,710.55106,0.0153,0.01167,2.8901
"39",2008,5,"M",42.3,435.08206,0,0.0036,0.5012
"40",2008,5,"M",42.4,1281.43472,0.00058,0,3.90367
"41",2008,5,"M",42.5,2132.5735633345,0.14202,0.1894550387,3.5854213687
"42",2008,5,"M",42.6,2294.50688,0.00912,0.14456,4.69668
"43",2008,5,"M",42.7,741.04858,0.01317,0.08903,0.88965
"44",2008,5,"M",42.8,158.29363,0,0.02806,0.24679
"45",2008,5,"M",42.9,548.03852,0,0.00172,0.31053
"46",2008,5,"M",43,378.37166,0,0.00796,0.44508
"47",2008,5,"M",43.1,810.21618,0.00614,0.04784,0.6398
"48",2008,5,"M",43.2,79.44234,0,0.00124,0.06709
"49",2008,5,"M",43.3,689.52987,0.00573,0.04682,0.97898
"50",2008,5,"M",43.4,644.64217,0,0.04673,0.67063
"51",2008,5,"M",43.5,1048.07507,0.00038,0.00441,1.23049
"52",2008,5,"M",43.6,1184.1194,0,0.01035,0.99007
"53",2008,5,"M",43.7,326.26715,0,0.00107,0.99163
"54",2008,5,"M",44,98.70932,0.00234,0,0.2227
"55",2008,5,"M",44.1,88.05367,0,0.01181,7.33878
"56",2008,5,"M",44.7,106.05817,0.00102,0,0.03436
"57",2008,5,"M",44.8,38.81898,0,0,0.01604
"58",2008,5,"M",45.2,10.70406,0,0.00154,0.03369
"59",2008,5,"M",45.3,57.80701,0,0,0.00408
"60",2008,5,"M",45.4,28.42631,0,0,0
"61",2008,5,"M",45.5,8.08084,0,0,0
"62",2008,5,"M",45.6,103.05835,0,0,0.00896
"63",2008,5,"M",45.7,15.39755,0,0,0.02604
"64",2008,5,"M",45.8,566.84042,0.12698,1.47639,0.71528
